Time resolution is 1 ps
time:0, input_number:00000, reset:0, enable_loading:0, enable_counting:0, output_counter:xxxxx
time:170000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00100
time:175000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00101
time:180000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00101
time:185000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00110
time:190000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00110
time:195000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00111
time:200000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00111
time:205000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01000
time:210000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01000
time:215000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01001
time:220000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01001
time:225000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01010
time:230000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01010
time:235000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01011
time:240000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01011
time:245000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01100
time:250000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01100
time:255000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01101
time:260000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01101
time:265000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01110
time:270000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01110
time:275000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01111
time:280000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01111
time:285000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10000
time:290000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10000
time:295000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10001
time:300000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10001
time:305000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10010
time:310000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10010
time:315000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10011
time:320000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10011
time:325000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10100
time:330000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10100
time:335000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10101
time:340000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10101
time:345000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10110
time:350000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10110
time:355000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10111
time:360000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10111
time:365000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11000
time:370000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11000
time:375000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11001
time:380000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11001
time:385000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11010
time:390000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11010
time:395000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11011
time:400000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11011
time:405000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11100
time:410000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11100
time:415000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11101
time:420000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11101
time:425000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11110
time:430000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11110
time:435000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11111
time:440000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11111
time:445000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00000
time:450000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00000
time:455000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00001
time:460000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00001
time:465000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00010
time:470000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00010
time:475000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00011
time:480000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00011
time:485000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00100
time:490000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00100
time:495000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00101
time:500000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00101
time:505000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00110
time:510000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00110
time:515000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00111
time:520000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00111
time:525000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01000
time:530000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01000
time:535000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01001
time:540000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01001
time:545000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01010
time:550000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01010
time:555000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01011
time:560000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01011
time:565000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01100
time:570000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01100
time:575000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01101
time:580000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01101
time:585000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01110
time:590000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01110
time:595000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:01111
time:600000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:01111
time:605000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10000
time:610000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10000
time:615000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10001
time:620000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10001
time:625000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10010
time:630000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10010
time:635000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10011
time:640000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10011
time:645000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10100
time:650000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10100
time:655000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10101
time:660000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10101
time:665000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10110
time:670000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10110
time:675000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:10111
time:680000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:10111
time:685000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11000
time:690000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11000
time:695000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11001
time:700000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11001
time:705000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11010
time:710000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11010
time:715000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11011
time:720000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11011
time:725000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11100
time:730000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11100
time:735000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11101
time:740000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11101
time:745000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11110
time:750000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11110
time:755000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:11111
time:760000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:11111
time:765000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00000
time:770000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00000
time:775000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00001
time:780000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00001
time:785000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00010
time:790000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00010
time:795000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00011
time:800000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00011
time:805000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00100
time:810000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00100
time:815000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00101
time:820000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00101
time:825000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00110
